"Geography","county","state","total_pop","proportion_white","proportion_black","proportion_indigenous","proportion_asian","proportion_pacific","proportion_other","proportion_multiracial","proportion_hispanic_latino","median_income","proportion_hs_degree_over_25","proportion_bachelors_degree_over_25"
"0500000US16053","Jerome","ID",24474,0.729,0,0.006,0.004,0.001,0.082,0.178,0.379,67347,0.753,0.131
"0500000US16055","Kootenai","ID",173396,0.897,0.003,0.009,0.007,0.001,0.014,0.069,0.052,71949,0.936,0.267
"0500000US16057","Latah","ID",39872,0.897,0.012,0.007,0.02,0.002,0.008,0.054,0.046,62258,0.969,0.443
"0500000US16059","Lemhi","ID",8043,0.927,0,0.004,0.002,0,0.016,0.051,0.036,49216,0.917,0.222
"0500000US16061","Lewis","ID",3630,0.823,0.018,0.028,0.01,0,0.033,0.088,0.053,46484,0.899,0.185
"0500000US16063","Lincoln","ID",5203,0.78,0.005,0.025,0.004,0,0.067,0.12,0.318,62250,0.816,0.112
"0500000US16065","Madison","ID",52487,0.891,0.009,0.003,0.018,0.001,0.026,0.051,0.083,53025,0.974,0.391
"0500000US16067","Minidoka","ID",21626,0.763,0.001,0.014,0.001,0,0.115,0.105,0.358,63594,0.813,0.159
"0500000US16069","Nez Perce","ID",42200,0.888,0.001,0.05,0.009,0.001,0.007,0.045,0.045,65023,0.93,0.257
"0500000US16071","Oneida","ID",4572,0.937,0,0.007,0,0,0.014,0.043,0.045,67383,0.934,0.238
"0500000US16073","Owyhee","ID",12043,0.742,0.004,0.036,0.001,0,0.124,0.093,0.258,58440,0.761,0.139
"0500000US16075","Payette","ID",25571,0.83,0.001,0.009,0.008,0,0.054,0.099,0.18,62721,0.859,0.202
"0500000US16077","Power","ID",7918,0.712,0,0.033,0,0,0.175,0.08,0.344,56671,0.843,0.147
"0500000US16079","Shoshone","ID",13399,0.912,0.009,0.018,0,0.003,0.003,0.055,0.041,44807,0.881,0.116
"0500000US16081","Teton","ID",11813,0.839,0,0.013,0,0,0.077,0.071,0.164,88906,0.934,0.471
"0500000US16083","Twin Falls","ID",90592,0.834,0.005,0.005,0.016,0,0.052,0.087,0.174,61183,0.874,0.236
"0500000US16085","Valley","ID",11830,0.979,0.001,0,0.001,0.001,0.006,0.013,0.014,72878,0.928,0.364
