test_data,ddhq_id,year,office_type,state,county,district,fips,dem_name,rep_name,ind_name,green_name,percent_precincts_reporting,dem_votes,rep_votes,ind_votes,green_votes,dem_votes_percent,rep_votes_percent,ind_votes_percent,green_votes_percent,margin_votes,margin_percent,absentee_percent,absentee_margin
,,2012,Senate,MT,Powell County,0,30077,,,,,100,1162,1422,,,41.8,51.2,,,-260,-9.4,,
,,2012,Senate,MT,Prairie County,0,30079,,,,,100,236,418,,,33.4,59.2,,,-182,-25.8,,
,,2012,Senate,MT,Ravalli County,0,30081,,,,,100,7592,10812,,,38.2,54.4,,,-3220,-16.2,,
,,2012,Senate,MT,Richland County,0,30083,,,,,100,1395,2905,,,30.2,62.9,,,-1510,-32.7,,
,,2012,Senate,MT,Roosevelt County,0,30085,,,,,100,2229,1223,,,61.3,33.6,,,1006,27.7,,
,,2012,Senate,MT,Rosebud County,0,30087,,,,,100,1768,1602,,,48.6,44.1,,,166,4.5,,
,,2012,Senate,MT,Sanders County,0,30089,,,,,100,2039,3213,,,34.3,54.1,,,-1174,-19.8,,
,,2012,Senate,MT,Sheridan County,0,30091,,,,,100,808,992,,,42.2,51.8,,,-184,-9.6,,
,,2012,Senate,MT,Silver Bow County,0,30093,,,,,100,11584,4112,,,69.3,24.6,,,7472,44.7,,
,,2012,Senate,MT,Stillwater County,0,30095,,,,,100,1681,2603,,,36.7,56.8,,,-922,-20.1,,
,,2012,Senate,MT,Sweet Grass County,0,30097,,,,,100,658,1324,,,31.2,62.7,,,-666,-31.5,,
,,2012,Senate,MT,Teton County,0,30099,,,,,100,1327,1746,,,40.4,53.2,,,-419,-12.8,,
,,2012,Senate,MT,Toole County,0,30101,,,,,100,721,1209,,,34.0,57.0,,,-488,-23.0,,
,,2012,Senate,MT,Treasure County,0,30103,,,,,100,156,251,,,33.9,54.6,,,-95,-20.7,,
,,2012,Senate,MT,Valley County,0,30105,,,,,100,1750,1824,,,45.0,46.9,,,-74,-1.9,,
,,2012,Senate,MT,Wheatland County,0,30107,,,,,100,364,557,,,36.8,56.3,,,-193,-19.5,,
,,2012,Senate,MT,Wibaux County,0,30109,,,,,100,149,339,,,27.4,62.3,,,-190,-34.9,,
