total_population,median_household_income,median_household_income_black,median_household_income_hispanicOrLatino,median_household_income_white_notHispanic,proportion_white,proportion_white_notHispanic,proportion_black,proportion_hispanicOrLatino,proportion_asian,proportion_bachelorsDegreeOrHigher_white,proportion_bachelorsDegreeOrHigher_white_notHispanic,proportion_bachelorsDegreeOrHigher_black,proportion_bachelorsDegreeOrHigher_hispanicOrLatino,proportion_bachelorsDegreeOrHigher_asian,proportion_less_than_hs_white,proportion_less_than_hs_white_notHispanic,proportion_less_than_hs_black,proportion_less_than_hs_hispanicOrLatino,proportion_less_than_hs_asian,fips,state
26946,47310,26142,45359,54091,0.64369479700141,0.582720997550657,0.238848066503377,0.12076003859571,0.0084984784383582,0.128913231478812,0.139026875557254,0.0706960845245494,0.0162876459741856,0.205240174672489,0.10908042663591801,0.103171570500573,0.079241765071473,0.19760295021512,0.266375545851528,279,GA
12546,55574,42344,57679,56721,0.940459110473458,0.935756416387693,0.016260162601626,0.0288538179499442,0.00191296030607365,0.248241376387829,0.248296422487223,0.303921568627451,0.185082872928177,0.583333333333333,0.0545808966861598,0.054855195911414,0,0.0856353591160221,0,281,GA
6411,38641,24813,57679,44429,0.665106847605678,0.659335517080019,0.28591483387927,0.00935891436593355,0,0.125703564727955,0.126803879820203,0.027823240589198,0,0.296456941497841,0.1343808630394,0.13555713271824,0.259138025095472,0.133333333333333,0.0573966585614558,283,GA
69527,53599,36061,51092,68850,0.571101874092079,0.551382915989472,0.362103930847009,0.0390064291570181,0.0239762969781524,0.177197975168106,0.180196160267112,0.0555290753098189,0.0988200589970502,0.334133173365327,0.0674440275014481,0.0652911101836394,0.0917540514775977,0.188053097345133,0.0449910017996401,285,GA
8894,39666,30714,68679,60000,0.576680908477625,0.540814031931639,0.383179671688779,0.0513829548009894,0,0.0935854942483915,0.0983367983367983,0.0428403755868545,0.0306345733041575,0.296456941497841,0.139013452914798,0.108316008316008,0.147007042253521,0.420131291028446,0.0573966585614558,287,GA
7955,50446,38112,57679,55016,0.559648020113136,0.551477058453803,0.415461973601508,0.0100565681961031,0.00703959773727216,0.0938903863432165,0.0952815135627992,0.0586989409984871,0.1875,0,0.157681940700809,0.155687257807158,0.154311649016641,0.2375,0.25,289,GA
24880,59783,42344,92591,59530,0.934766881028939,0.928778135048231,0.00667202572347267,0.03758038585209,0.00237138263665595,0.208109386421293,0.207547169811321,0.0662650602409639,0.0844919786096257,0.372881355932203,0.0850066646601023,0.0841699844209797,0.156626506024096,0.257754010695187,0,291,GA
27638,48740,31232,57679,60415,0.67486793545119,0.666654605977278,0.273681163615312,0.024169621535567,0.00405239163470584,0.12872614196869,0.130312075983718,0.048783712321523,0.0224550898203593,0.419642857142857,0.0882479090714132,0.0893351424694708,0.153358011634056,0.199101796407186,0,293,GA
68065,52276,41286,57500,53201,0.912201572026739,0.898582237567031,0.0398295746712701,0.02660691985602,0.00555351502240505,0.138253152732368,0.139514731369151,0.083732939874585,0.0894533406957482,0.5,0.10691104704537,0.108384290899578,0.128734784212468,0.0176697956929873,0,295,GA
97752,79425,57489,60667,83213,0.74035313855471,0.713182338980277,0.19355102708896,0.0540347000572878,0.0146288566985842,0.173453455113236,0.176131392096392,0.134619450317125,0.0829231351760697,0.223776223776224,0.0779870390073372,0.0767553611131034,0.108879492600423,0.138583869746308,0.128671328671329,297,GA
35917,44138,30256,36964,50837,0.629228499039452,0.623966366901467,0.301584208035192,0.045465935350948,0.0123339922599326,0.104734513274336,0.104502253357726,0.0901957163958641,0.113900796080833,0.223476297968397,0.112212389380531,0.109633662040962,0.135801329394387,0.314145744029394,0.108352144469526,299,GA
5197,45091,39444,57679,58157,0.383875312680393,0.383875312680393,0.597267654416009,0,0.00461804887435059,0.151378446115288,0.151378446115288,0.0315721649484536,0.073394495412844,0.166666666666667,0.0842105263157895,0.0842105263157895,0.273518041237113,0.133348687240903,0,301,GA
19975,43810,32259,95890,57294,0.43063829787234,0.419173967459324,0.508435544430538,0.0280350438047559,0.00725907384230288,0.182399441990235,0.187388032963096,0.0741433635289484,0.176785714285714,0.0896551724137931,0.0832364566379912,0.0784664994625582,0.130366285939346,0.253571428571429,0.268965517241379,303,GA
30277,49847,34408,29667,56383,0.724840638108135,0.704759388314562,0.201869405819599,0.0649337781154011,0.00967731281170526,0.120431969379386,0.117864842065798,0.0304319371727749,0.0696846388606307,0.0068259385665529,0.0930465688508156,0.093588902427594,0.128435863874346,0.0406917599186165,0.180887372013652,305,GA
2354,35000,28843,13102,51250,0.415038232795242,0.384451996601529,0.445199660152931,0.146559048428207,0,0.114636642784033,0.092817679558011,0.0104961832061069,0.0811594202898551,0.296456941497841,0.0470829068577277,0.050828729281768,0.166030534351145,0.295652173913043,0.0573966585614558,307,GA
