state,town,county,fips
NH,Richmond,Cheshire,005

NH,Rindge,Cheshire,005

NH,Rochester,Strafford,017

NH,Rollinsford,Strafford,017

NH,Roxbury,Cheshire,005

NH,Rumney,Grafton,009

NH,Rye,Rockingham,015

NH,Salem,Rockingham,015

NH,Salisbury,Merrimack,013

NH,Sanbornton,Belknap,001

NH,Sandown,Rockingham,015

NH,Sandwich,Carroll,003

NH,Seabrook,Rockingham,015

NH,Sharon,Hillsborough,011

NH,Shelburne,Coös,007

NH,Somersworth,Strafford,017

NH,South Hampton,Rockingham,015

NH,Springfield,Sullivan,019

NH,Stark,Coös,007

NH,Stewartstown,Coös,007

NH,Stoddard,Cheshire,005

NH,Strafford,Strafford,017

NH,Stratford,Coös,007

NH,Stratham,Rockingham,015

NH,Sugar Hill,Grafton,009

NH,Sullivan,Cheshire,005

NH,Sunapee,Sullivan,019

NH,Surry,Cheshire,005

NH,Sutton,Merrimack,013

NH,Swanzey,Cheshire,005

NH,Tamworth,Carroll,003

NH,Temple,Hillsborough,011

NH,Thornton,Grafton,009

NH,Tilton,Belknap,001

NH,Troy,Cheshire,005

NH,Tuftonboro,Carroll,003

NH,Unity,Sullivan,019

NH,Wakefield,Carroll,003

NH,Walpole,Cheshire,005

NH,Warner,Merrimack,013

NH,Warren,Grafton,009

NH,Washington,Sullivan,019

NH,Waterville Valley,Grafton,009

NH,Weare,Hillsborough,011

NH,Webster,Merrimack,013

NH,Wentworth,Grafton,009

NH,Westmoreland,Cheshire,005

NH,Whitefield,Coös,007

NH,Wilmot,Merrimack,013

NH,Wilton,Hillsborough,011

NH,Winchester,Cheshire,005

NH,Windham,Rockingham,015

NH,Windsor,Hillsborough,011

NH,Wolfeboro,Carroll,003

NH,Woodstock,Grafton,009

VT,Addison,Addison,001

VT,Alburgh,Grand Isle,013

VT,Arlington,Bennington,003

VT,Bakersfield,Franklin,011

VT,Barnard,Windsor,027

VT,Barton,Orleans,019

VT,Bennington,Bennington,003

VT,Berkshire,Franklin,011

VT,Bethel,Windsor,027

VT,Bolton,Chittenden,007

VT,Braintree,Orange,017

VT,Brattleboro,Windham,025

VT,Addison,Addison,001

VT,Albany,Orleans,019

VT,Alburgh,Grand Isle,013

VT,Andover,Windsor,027

VT,Arlington,Bennington,003

VT,Athens,Windham,025

VT,Bakersfield,Franklin,011

VT,Baltimore,Windsor,027

VT,Barnard,Windsor,027

VT,Barnet,Caledonia,005

VT,Barre City,Washington,023

VT,Barre Town,Washington,023

VT,Barton,Orleans,019

VT,Belvidere,Lamoille,015

VT,Bennington,Bennington,003

VT,Benson,Rutland,021

VT,Berkshire,Franklin,011

VT,Berlin,Washington,023

VT,Bethel,Windsor,027

VT,Bloomfield,Essex,009

VT,Bolton,Chittenden,007

VT,Bradford,Orange,017

VT,Braintree,Orange,017

VT,Brandon,Rutland,021

VT,Brattleboro,Windham,025

VT,Bridgewater,Windsor,027

VT,Bridport,Addison,001

VT,Brighton,Essex,009

VT,Bristol,Addison,001

VT,Brookfield,Orange,017

VT,Brookline,Windham,025

VT,Brownington,Orleans,019

VT,Brunswick,Essex,009

VT,Burke,Caledonia,005

VT,Burlington,Chittenden,007

VT,Cabot,Washington,023

VT,Calais,Washington,023

VT,Cambridge,Lamoille,015

VT,Canaan,Essex,009

VT,Castleton,Rutland,021

VT,Cavendish,Windsor,027

VT,Charleston,Orleans,019

VT,Charlotte,Chittenden,007

VT,Chelsea,Orange,017

VT,Chester,Windsor,027

VT,Chittenden,Rutland,021

VT,Clarendon,Rutland,021

VT,Colchester,Chittenden,007

VT,Concord,Essex,009

