"Geography","district","state","total_pop","proportion_white","proportion_black","proportion_indigenous","proportion_asian","proportion_pacific","proportion_other","proportion_multiracial","proportion_hispanic_latino","median_income","proportion_hs_degree_over_25","proportion_bachelors_degree_over_25"
"5001800US3612","12","NY",734996,0.654,0.052,0.002,0.132,0,0.047,0.113,0.125,149367,0.973,0.811
"5001800US3613","13","NY",726044,0.195,0.272,0.011,0.055,0,0.291,0.176,0.512,50491,0.788,0.369
"5001800US3614","14","NY",740563,0.232,0.192,0.016,0.111,0.003,0.309,0.137,0.516,64881,0.789,0.308
"5001800US3615","15","NY",714768,0.124,0.365,0.017,0.029,0.001,0.316,0.149,0.533,44103,0.753,0.222
"5001800US3616","16","NY",765060,0.426,0.207,0.01,0.068,0,0.159,0.131,0.293,105778,0.879,0.508
"5001800US3617","17","NY",772624,0.657,0.07,0.008,0.048,0.001,0.116,0.1,0.213,118882,0.899,0.488
"5001800US3618","18","NY",784352,0.644,0.107,0.022,0.029,0,0.082,0.116,0.205,93064,0.902,0.364
"5001800US3619","19","NY",769461,0.822,0.041,0.001,0.037,0,0.024,0.075,0.067,65983,0.914,0.349
"5001800US3620","20","NY",783546,0.74,0.089,0.003,0.048,0.001,0.033,0.087,0.069,81237,0.94,0.424
"5001800US3621","21","NY",767195,0.89,0.018,0.006,0.013,0,0.018,0.056,0.043,70193,0.912,0.285
"5001800US3622","22","NY",762999,0.779,0.084,0.005,0.038,0.001,0.025,0.068,0.061,70700,0.912,0.359
"5001800US3623","23","NY",764335,0.897,0.028,0.005,0.01,0,0.013,0.047,0.043,70015,0.926,0.307
"5001800US3624","24","NY",767751,0.886,0.028,0.004,0.008,0,0.018,0.056,0.047,69878,0.907,0.27
"5001800US3625","25","NY",766396,0.702,0.141,0.001,0.037,0.001,0.04,0.078,0.099,73132,0.921,0.41
"5001800US3626","26","NY",768744,0.673,0.161,0.004,0.062,0,0.027,0.073,0.07,62088,0.913,0.356
"5001800US3701","1","NC",754008,0.478,0.398,0.007,0.01,0.001,0.047,0.061,0.081,55409,0.873,0.232
"5001800US3702","2","NC",784882,0.561,0.181,0.003,0.107,0,0.054,0.095,0.12,104376,0.946,0.61
"5001800US3703","3","NC",768524,0.662,0.164,0.006,0.015,0,0.052,0.101,0.12,64902,0.911,0.254
"5001800US3704","4","NC",769250,0.54,0.244,0.006,0.043,0,0.084,0.084,0.137,76468,0.918,0.471
"5001800US3705","5","NC",750316,0.744,0.121,0.004,0.013,0,0.049,0.069,0.101,60759,0.893,0.328
"5001800US3706","6","NC",765747,0.514,0.305,0.005,0.041,0,0.051,0.083,0.108,64946,0.907,0.336
"5001800US3707","7","NC",794214,0.638,0.172,0.065,0.013,0.001,0.044,0.067,0.085,66712,0.903,0.323
"5001800US3708","8","NC",776092,0.698,0.127,0.004,0.025,0.002,0.063,0.082,0.114,71855,0.896,0.28
"5001800US3709","9","NC",771994,0.584,0.233,0.014,0.018,0.001,0.057,0.094,0.136,64306,0.897,0.306
"5001800US3710","10","NC",774062,0.77,0.095,0.002,0.023,0,0.042,0.068,0.088,65580,0.89,0.264
"5001800US3711","11","NC",763974,0.839,0.033,0.016,0.01,0,0.023,0.08,0.079,62114,0.915,0.372
